  0.00000000E+00 -0.58141910E+01
  0.12691464E-01 -0.58142396E+01
  0.25382929E-01 -0.58143650E+01
  0.38074393E-01 -0.58145716E+01
  0.50765857E-01 -0.58148596E+01
  0.63457322E-01 -0.58152285E+01
  0.76148786E-01 -0.58156778E+01
  0.88840250E-01 -0.58162069E+01
  0.10153171E+00 -0.58168150E+01
  0.11422318E+00 -0.58175014E+01
  0.12691464E+00 -0.58182649E+01
  0.13960611E+00 -0.58191047E+01
  0.15229757E+00 -0.58200197E+01
  0.16498904E+00 -0.58210088E+01
  0.17768050E+00 -0.58220709E+01
  0.19037197E+00 -0.58232047E+01
  0.20306343E+00 -0.58244092E+01
  0.21575489E+00 -0.58256831E+01
  0.22844636E+00 -0.58270252E+01
  0.24113782E+00 -0.58284342E+01
  0.25382929E+00 -0.58299089E+01
  0.26652075E+00 -0.58314479E+01
  0.27921222E+00 -0.58330499E+01
  0.29190368E+00 -0.58347134E+01
  0.30459514E+00 -0.58364371E+01
  0.31728661E+00 -0.58382192E+01
  0.32997807E+00 -0.58400583E+01
  0.34266954E+00 -0.58419526E+01
  0.35536100E+00 -0.58439004E+01
  0.36805247E+00 -0.58458998E+01
  0.38074393E+00 -0.58479490E+01
  0.39343539E+00 -0.58500460E+01
  0.40612686E+00 -0.58521887E+01
  0.41881832E+00 -0.58543751E+01
  0.43150979E+00 -0.58566030E+01
  0.44420125E+00 -0.58588702E+01
  0.45689272E+00 -0.58611745E+01
  0.46958418E+00 -0.58635136E+01
  0.48227565E+00 -0.58658851E+01
  0.49496711E+00 -0.58682866E+01
  0.50765857E+00 -0.58707158E+01
  0.52035004E+00 -0.58731702E+01
  0.53304150E+00 -0.58756473E+01
  0.54573297E+00 -0.58781445E+01
  0.55842443E+00 -0.58806593E+01
  0.57111590E+00 -0.58831892E+01
  0.58380736E+00 -0.58857315E+01
  0.59649882E+00 -0.58882835E+01
  0.60919029E+00 -0.58908427E+01
  0.62188175E+00 -0.58934064E+01
  0.63457322E+00 -0.58959719E+01
  0.64726468E+00 -0.58985365E+01
  0.65995615E+00 -0.59010977E+01
  0.67264761E+00 -0.59036527E+01
  0.68533907E+00 -0.59061989E+01
  0.69803054E+00 -0.59087336E+01
  0.71072200E+00 -0.59112543E+01
  0.72341347E+00 -0.59137584E+01
  0.73610493E+00 -0.59162433E+01
  0.74879640E+00 -0.59187065E+01
  0.76148786E+00 -0.59211456E+01
  0.77417933E+00 -0.59235582E+01
  0.78687079E+00 -0.59259418E+01
  0.79956225E+00 -0.59282943E+01
  0.81225372E+00 -0.59306134E+01
  0.82494518E+00 -0.59328970E+01
  0.83763665E+00 -0.59351429E+01
  0.85032811E+00 -0.59373492E+01
  0.86301958E+00 -0.59395140E+01
  0.87571104E+00 -0.59416354E+01
  0.88840250E+00 -0.59437116E+01
